name,lat,lon,distance,type
2nd & King MUNI Metro Station,37.779346,-122.389798,532,"{'typepoint': {'type': 'Point', 'coordinates': [37.779346, -122.389798]}}"
San Francisco Caltrain Station,37.776537,-122.394938,727,"{'typepoint': {'type': 'Point', 'coordinates': [37.776537, -122.394938]}}"
MUNI Metro Stop - 4th & King,37.77599,-122.393974,770,"{'typepoint': {'type': 'Point', 'coordinates': [37.77599, -122.393974]}}"
Caltrain MUNI Metro Station,37.77587,-122.395544,792,"{'typepoint': {'type': 'Point', 'coordinates': [37.77587, -122.395544]}}"
Caltrain,37.775816,-122.395397,802,"{'typepoint': {'type': 'Point', 'coordinates': [37.775816, -122.395397]}}"
MUNI Metro Stop - Embarcadero & Folsom,37.790502,-122.390024,923,"{'typepoint': {'type': 'Point', 'coordinates': [37.790502, -122.390024]}}"
Montgomery MUNI Metro Station,37.788769,-122.402039,960,"{'typepoint': {'type': 'Point', 'coordinates': [37.788769, -122.402039]}}"
MUNI Stop,37.787348,-122.404392,1008,"{'typepoint': {'type': 'Point', 'coordinates': [37.787348, -122.404392]}}"
MUNI Metro Stop - 3rd & Mission Rock,37.773145,-122.38972,1143,"{'typepoint': {'type': 'Point', 'coordinates': [37.773145, -122.38972]}}"
Embarcadero MUNI Metro Station,37.793113,-122.396917,1146,"{'typepoint': {'type': 'Point', 'coordinates': [37.793113, -122.396917]}}"
