name,lat,lon,distance,type
The Great Northern,37.767481,-122.40659,320,"{'typepoint': {'type': 'Point', 'coordinates': [37.767481, -122.40659]}}"
Jolene's Bar,37.765554,-122.413429,792,"{'typepoint': {'type': 'Point', 'coordinates': [37.765554, -122.413429]}}"
Oasis,37.771782,-122.414442,1171,"{'typepoint': {'type': 'Point', 'coordinates': [37.771782, -122.414442]}}"
Public Works,37.768956,-122.419363,1396,"{'typepoint': {'type': 'Point', 'coordinates': [37.768956, -122.419363]}}"
Cat Club,37.775367,-122.409851,1234,"{'typepoint': {'type': 'Point', 'coordinates': [37.775367, -122.409851]}}"
Breakfast of Champions,37.767936,-122.406617,387,"{'typepoint': {'type': 'Point', 'coordinates': [37.767936, -122.406617]}}"
F8 1192 Folsom,37.775283,-122.409986,1230,"{'typepoint': {'type': 'Point', 'coordinates': [37.775283, -122.409986]}}"
Club Six,37.781406,-122.40949,1863,"{'typepoint': {'type': 'Point', 'coordinates': [37.781406, -122.40949]}}"
DNA Lounge,37.771002,-122.412675,983,"{'typepoint': {'type': 'Point', 'coordinates': [37.771002, -122.412675]}}"
Bootie San Francisco,37.771002,-122.412675,991,"{'typepoint': {'type': 'Point', 'coordinates': [37.771002, -122.412675]}}"
