name,lat,lon,distance,type
MTA Subway - Spring St,40.725555,-74.003965,307,"{'typepoint': {'type': 'Point', 'coordinates': [40.725555, -74.003965]}}"
MTA Subway - Prince St,40.724199,-73.997749,345,"{'typepoint': {'type': 'Point', 'coordinates': [40.724199, -73.997749]}}"
MTA Subway - Canal St,40.722529,-74.006094,381,"{'typepoint': {'type': 'Point', 'coordinates': [40.722529, -74.006094]}}"
MTA - Spring St Subway Station,40.722471,-73.997214,404,"{'typepoint': {'type': 'Point', 'coordinates': [40.722471, -73.997214]}}"
MTA Subway - Canal St,40.720656,-74.005098,416,"{'typepoint': {'type': 'Point', 'coordinates': [40.720656, -74.005098]}}"
