name,lat,lon,distance,type
The Up and Up,40.729613,-74.000606,550,"{'typepoint': {'type': 'Point', 'coordinates': [40.729613, -74.000606]}}"
Bar Goto,40.722842,-73.989731,704,"{'typepoint': {'type': 'Point', 'coordinates': [40.722842, -73.989731]}}"
Bonnie Vee,40.722402,-73.992027,559,"{'typepoint': {'type': 'Point', 'coordinates': [40.722402, -73.992027]}}"
Analogue,40.732778,-73.997282,818,"{'typepoint': {'type': 'Point', 'coordinates': [40.732778, -73.997282]}}"
Village Vanguard,40.736003,-74.001688,1219,"{'typepoint': {'type': 'Point', 'coordinates': [40.736003, -74.001688]}}"
Stonewall Inn,40.733886,-74.002172,999,"{'typepoint': {'type': 'Point', 'coordinates': [40.733886, -74.002172]}}"
The Box,40.72187,-73.992213,605,"{'typepoint': {'type': 'Point', 'coordinates': [40.72187, -73.992213]}}"
Mercury Lounge,40.722113,-73.986777,975,"{'typepoint': {'type': 'Point', 'coordinates': [40.722113, -73.986777]}}"
169 Bar,40.713955,-73.989791,1401,"{'typepoint': {'type': 'Point', 'coordinates': [40.713955, -73.989791]}}"
Le Bain,40.740795,-74.007991,1952,"{'typepoint': {'type': 'Point', 'coordinates': [40.740795, -74.007991]}}"
