name,lat,lon,distance,type
California Child Care Resources & Referral Network,37.787285,-122.400087,297,"{'typepoint': {'type': 'Point', 'coordinates': [37.787285, -122.400087]}}"
Bright Horizons,37.792276,-122.403607,372,"{'typepoint': {'type': 'Point', 'coordinates': [37.792276, -122.403607]}}"
Wu Yee Children's Services,37.792221,-122.406042,533,"{'typepoint': {'type': 'Point', 'coordinates': [37.792221, -122.406042]}}"
Marin Day Schools,37.789639,-122.39492,549,"{'typepoint': {'type': 'Point', 'coordinates': [37.789639, -122.39492]}}"
True Sunshine Preschool Center,37.792767,-122.407866,700,"{'typepoint': {'type': 'Point', 'coordinates': [37.792767, -122.407866]}}"
American Child Care Service,37.792942,-122.404119,469,"{'typepoint': {'type': 'Point', 'coordinates': [37.792942, -122.404119]}}"
Sylvia s Family Child Care,37.783312,-122.397774,738,"{'typepoint': {'type': 'Point', 'coordinates': [37.783312, -122.397774]}}"
