name,lat,lon,distance,type
The Frying Pan,40.752274,-74.00849,341,"{'typepoint': {'type': 'Point', 'coordinates': [40.752274, -74.00849]}}"
The Eagle,40.751736,-74.00445,128,"{'typepoint': {'type': 'Point', 'coordinates': [40.751736, -74.00445]}}"
Tao Downtown,40.742413,-74.004038,1103,"{'typepoint': {'type': 'Point', 'coordinates': [40.742413, -74.004038]}}"
Le Bain,40.740795,-74.007991,1306,"{'typepoint': {'type': 'Point', 'coordinates': [40.740795, -74.007991]}}"
Birdland,40.759098,-73.98967,1529,"{'typepoint': {'type': 'Point', 'coordinates': [40.759098, -73.98967]}}"
As Is NYC,40.764662,-73.991461,1799,"{'typepoint': {'type': 'Point', 'coordinates': [40.764662, -73.991461]}}"
Marquee,40.75004,-74.002688,343,"{'typepoint': {'type': 'Point', 'coordinates': [40.75004, -74.002688]}}"
Village Vanguard,40.736003,-74.001688,1856,"{'typepoint': {'type': 'Point', 'coordinates': [40.736003, -74.001688]}}"
Rudy's Bar & Grill,40.760014,-73.991715,1445,"{'typepoint': {'type': 'Point', 'coordinates': [40.760014, -73.991715]}}"
PHD Rooftop Lounge at Dream Downtown,40.742212,-74.003506,1147,"{'typepoint': {'type': 'Point', 'coordinates': [40.742212, -74.003506]}}"
