name,lat,lon,distance,type
Muni,37.770046,-122.403372,170,"{'typepoint': {'type': 'Point', 'coordinates': [37.770046, -122.403372]}}"
Muni 19,37.767227,-122.402633,392,"{'typepoint': {'type': 'Point', 'coordinates': [37.767227, -122.402633]}}"
Bay Area SkiBus SF Pickup,37.766035,-122.401129,480,"{'typepoint': {'type': 'Point', 'coordinates': [37.766035, -122.401129]}}"
Bryant & 7th Genenbus,37.774415,-122.404347,499,"{'typepoint': {'type': 'Point', 'coordinates': [37.774415, -122.404347]}}"
MUNI stop,37.772143,-122.407152,512,"{'typepoint': {'type': 'Point', 'coordinates': [37.772143, -122.407152]}}"
MUNI Bus Stop - 16th & Vermont,37.765974,-122.404924,573,"{'typepoint': {'type': 'Point', 'coordinates': [37.765974, -122.404924]}}"
Bus Stop,37.765097,-122.401862,604,"{'typepoint': {'type': 'Point', 'coordinates': [37.765097, -122.401862]}}"
MUNI Bus Stop - 9th & Harrison,37.772477,-122.410469,797,"{'typepoint': {'type': 'Point', 'coordinates': [37.772477, -122.410469]}}"
MUNI Bus Stop - Division & Bryant,37.769105,-122.410987,825,"{'typepoint': {'type': 'Point', 'coordinates': [37.769105, -122.410987]}}"
MUNI 16th at Potrero 33 inbound,37.764612,-122.407783,839,"{'typepoint': {'type': 'Point', 'coordinates': [37.764612, -122.407783]}}"
