name,lat,lon,distance,type
Bark Avenue,37.775605,-122.394309,274,"{'typepoint': {'type': 'Point', 'coordinates': [37.775605, -122.394309]}}"
Modern Education Family Childcare,37.773502,-122.391892,602,"{'typepoint': {'type': 'Point', 'coordinates': [37.773502, -122.391892]}}"
Yerba Buena Gardens Child Development Center,37.78246,-122.400807,686,"{'typepoint': {'type': 'Point', 'coordinates': [37.78246, -122.400807]}}"
South Of Market Childc,37.782439,-122.401092,687,"{'typepoint': {'type': 'Point', 'coordinates': [37.782439, -122.401092]}}"
Sheleen Family Childcare,37.776754,-122.392943,271,"{'typepoint': {'type': 'Point', 'coordinates': [37.776754, -122.392943]}}"
Señorita's Preschool & Childcare,37.773487,-122.396683,476,"{'typepoint': {'type': 'Point', 'coordinates': [37.773487, -122.396683]}}"
Loving Care,37.773589,-122.39161,587,"{'typepoint': {'type': 'Point', 'coordinates': [37.773589, -122.39161]}}"
Amy s Family Child Care,37.773199,-122.391587,623,"{'typepoint': {'type': 'Point', 'coordinates': [37.773199, -122.391587]}}"
Modern Education Family Childcare,37.781349,-122.401243,626,"{'typepoint': {'type': 'Point', 'coordinates': [37.781349, -122.401243]}}"
Little Crystal Learning Child Care,37.772502,-122.393044,627,"{'typepoint': {'type': 'Point', 'coordinates': [37.772502, -122.393044]}}"
