name,lat,lon,distance,type
Sewing In Soho,40.724738,-74.001374,166,"{'typepoint': {'type': 'Point', 'coordinates': [40.724738, -74.001374]}}"
Vivvi,40.723393,-74.00717,463,"{'typepoint': {'type': 'Point', 'coordinates': [40.723393, -74.00717]}}"
University Plaza Nursery School,40.72711,-73.997451,506,"{'typepoint': {'type': 'Point', 'coordinates': [40.72711, -73.997451]}}"
Chung Pak Day Care Center,40.717283,-73.999813,689,"{'typepoint': {'type': 'Point', 'coordinates': [40.717283, -73.999813]}}"
Day Care Council-Local 205 D C 1707 Welfare Fund,40.723264,-74.005986,360,"{'typepoint': {'type': 'Point', 'coordinates': [40.723264, -74.005986]}}"
Tribeca Early Learning Center,40.721331,-74.005648,402,"{'typepoint': {'type': 'Point', 'coordinates': [40.721331, -74.005648]}}"
Footsteps,40.728197,-74.00509,606,"{'typepoint': {'type': 'Point', 'coordinates': [40.728197, -74.00509]}}"
