name,lat,lon,distance,type
Pawtrero Hill BathHouse & Feed,37.78382,-122.389322,424,"{'typepoint': {'type': 'Point', 'coordinates': [37.78382, -122.389322]}}"
Bernie's Grooming City Dogs,37.783824,-122.389344,434,"{'typepoint': {'type': 'Point', 'coordinates': [37.783824, -122.389344]}}"
Furry Tales,37.776754,-122.392943,737,"{'typepoint': {'type': 'Point', 'coordinates': [37.776754, -122.392943]}}"
South Paw Bathhouse Feed Co.,37.783786,-122.389414,416,"{'typepoint': {'type': 'Point', 'coordinates': [37.783786, -122.389414]}}"
Tefani & So. Dogcare,37.787193,-122.39915,641,"{'typepoint': {'type': 'Point', 'coordinates': [37.787193, -122.39915]}}"
