name,lat,lon,distance,type
The View,37.785207,-122.404625,514,"{'typepoint': {'type': 'Point', 'coordinates': [37.785207, -122.404625]}}"
Club Six,37.781406,-122.40949,1132,"{'typepoint': {'type': 'Point', 'coordinates': [37.781406, -122.40949]}}"
Southside Spirit House,37.787118,-122.397568,401,"{'typepoint': {'type': 'Point', 'coordinates': [37.787118, -122.397568]}}"
The Saloon,37.798643,-122.407066,1138,"{'typepoint': {'type': 'Point', 'coordinates': [37.798643, -122.407066]}}"
Cat Club,37.775367,-122.409851,1726,"{'typepoint': {'type': 'Point', 'coordinates': [37.775367, -122.409851]}}"
Monarch,37.780935,-122.408387,1119,"{'typepoint': {'type': 'Point', 'coordinates': [37.780935, -122.408387]}}"
Monroe,37.79795,-122.405017,1026,"{'typepoint': {'type': 'Point', 'coordinates': [37.79795, -122.405017]}}"
Pier 23 Cafe,37.803372,-122.400748,1559,"{'typepoint': {'type': 'Point', 'coordinates': [37.803372, -122.400748]}}"
F8 1192 Folsom,37.775283,-122.409986,1735,"{'typepoint': {'type': 'Point', 'coordinates': [37.775283, -122.409986]}}"
The Wreck Room,37.791186,-122.417021,1414,"{'typepoint': {'type': 'Point', 'coordinates': [37.791186, -122.417021]}}"
