name,lat,lon,distance,type
Montgomery Bus Shelter,37.789214,-122.402208,66,"{'typepoint': {'type': 'Point', 'coordinates': [37.789214, -122.402208]}}"
SF MUNI - Nx Judah Express,37.790081,-122.401112,85,"{'typepoint': {'type': 'Point', 'coordinates': [37.790081, -122.401112]}}"
MUNI Bus Stop - Market & New Montgomery,37.789165,-122.40242,98,"{'typepoint': {'type': 'Point', 'coordinates': [37.789165, -122.40242]}}"
Muni Stop - 3rd & Market - Inbound,37.788726,-122.40261,120,"{'typepoint': {'type': 'Point', 'coordinates': [37.788726, -122.40261]}}"
Muni Stop,37.790564,-122.400352,146,"{'typepoint': {'type': 'Point', 'coordinates': [37.790564, -122.400352]}}"
MUNI Bus Stop - Market & 1st,37.790602,-122.400283,160,"{'typepoint': {'type': 'Point', 'coordinates': [37.790602, -122.400283]}}"
Sansome St and Bush St,37.790629,-122.400356,165,"{'typepoint': {'type': 'Point', 'coordinates': [37.790629, -122.400356]}}"
MUNI Bus Stop - Market & 3rd,37.788265,-122.403084,184,"{'typepoint': {'type': 'Point', 'coordinates': [37.788265, -122.403084]}}"
MUNI Bus Stop - Mission & 2nd,37.787876,-122.400314,185,"{'typepoint': {'type': 'Point', 'coordinates': [37.787876, -122.400314]}}"
"30, 45, 8X Bus Stop",37.788248,-122.403728,229,"{'typepoint': {'type': 'Point', 'coordinates': [37.788248, -122.403728]}}"
