name,lat,lon,distance,type
MUNI Bus Stop - 2nd & Harrison,37.784132,-122.39517,158,"{'typepoint': {'type': 'Point', 'coordinates': [37.784132, -122.39517]}}"
MUNI Bus Stop - Harrison & 2nd,37.784305,-122.395467,176,"{'typepoint': {'type': 'Point', 'coordinates': [37.784305, -122.395467]}}"
MUNI Bus Stop - Brannan & 2nd,37.781579,-122.392223,232,"{'typepoint': {'type': 'Point', 'coordinates': [37.781579, -122.392223]}}"
MUNI Bus Stop - 3rd & Perry,37.781735,-122.396606,267,"{'typepoint': {'type': 'Point', 'coordinates': [37.781735, -122.396606]}}"
MUNI Bus Stop - Townsend & 3rd,37.77888,-122.392495,475,"{'typepoint': {'type': 'Point', 'coordinates': [37.77888, -122.392495]}}"
Muni Stop,37.777616,-122.394069,591,"{'typepoint': {'type': 'Point', 'coordinates': [37.777616, -122.394069]}}"
Muni 4th And Folsom,37.777714,-122.392785,617,"{'typepoint': {'type': 'Point', 'coordinates': [37.777714, -122.392785]}}"
MUNI Bus Stop - Townsend & 4th,37.777296,-122.394409,633,"{'typepoint': {'type': 'Point', 'coordinates': [37.777296, -122.394409]}}"
Muni 10 Townsend,37.777287,-122.394922,644,"{'typepoint': {'type': 'Point', 'coordinates': [37.777287, -122.394922]}}"
Greyhound Bus - Salesforce Transit Center,37.78821,-122.397975,668,"{'typepoint': {'type': 'Point', 'coordinates': [37.78821, -122.397975]}}"
