name,lat,lon,distance,type
MUNI Bus Stop - Kearny & Geary,37.787755,-122.403771,88,"{'typepoint': {'type': 'Point', 'coordinates': [37.787755, -122.403771]}}"
MUNI Bus Stop - Market & 3rd,37.788265,-122.403084,88,"{'typepoint': {'type': 'Point', 'coordinates': [37.788265, -122.403084]}}"
"30, 45, 8X Bus Stop",37.788248,-122.403728,93,"{'typepoint': {'type': 'Point', 'coordinates': [37.788248, -122.403728]}}"
Muni Stop - 3rd & Market - Inbound,37.788726,-122.40261,117,"{'typepoint': {'type': 'Point', 'coordinates': [37.788726, -122.40261]}}"
MUNI Bus Stop - Market & New Montgomery,37.789165,-122.40242,156,"{'typepoint': {'type': 'Point', 'coordinates': [37.789165, -122.40242]}}"
Montgomery Bus Shelter,37.789214,-122.402208,175,"{'typepoint': {'type': 'Point', 'coordinates': [37.789214, -122.402208]}}"
MUNI Bus Stop - Mission & 2nd,37.787876,-122.400314,216,"{'typepoint': {'type': 'Point', 'coordinates': [37.787876, -122.400314]}}"
Muni,37.786286,-122.404616,233,"{'typepoint': {'type': 'Point', 'coordinates': [37.786286, -122.404616]}}"
MUNI O'Farrell St & Grant Ave,37.786584,-122.405423,271,"{'typepoint': {'type': 'Point', 'coordinates': [37.786584, -122.405423]}}"
SF MUNI - Nx Judah Express,37.790081,-122.401112,301,"{'typepoint': {'type': 'Point', 'coordinates': [37.790081, -122.401112]}}"
