name,lat,lon,distance,type
Sweetgreen,37.787182,-122.398432,364,"{'typepoint': {'type': 'Point', 'coordinates': [37.787182, -122.398432]}}"
The Flying Falafel,37.78124,-122.411217,1017,"{'typepoint': {'type': 'Point', 'coordinates': [37.78124, -122.411217]}}"
Tender,37.786329,-122.417353,1287,"{'typepoint': {'type': 'Point', 'coordinates': [37.786329, -122.417353]}}"
The Thonglor,37.787265,-122.410194,675,"{'typepoint': {'type': 'Point', 'coordinates': [37.787265, -122.410194]}}"
Enjoy Vegetarian Restaurant,37.795717,-122.405173,932,"{'typepoint': {'type': 'Point', 'coordinates': [37.795717, -122.405173]}}"
Sweetgreen,37.789634,-122.391765,979,"{'typepoint': {'type': 'Point', 'coordinates': [37.789634, -122.391765]}}"
Ananda Fuara,37.77789,-122.416164,1627,"{'typepoint': {'type': 'Point', 'coordinates': [37.77789, -122.416164]}}"
Mixt Greens,37.79451,-122.401732,745,"{'typepoint': {'type': 'Point', 'coordinates': [37.79451, -122.401732]}}"
Ike's Sandwiches,37.78512,-122.419889,1507,"{'typepoint': {'type': 'Point', 'coordinates': [37.78512, -122.419889]}}"
Pena Pachamama,37.799682,-122.410569,1517,"{'typepoint': {'type': 'Point', 'coordinates': [37.799682, -122.410569]}}"
