name,lat,lon,distance,type
Berry Basketball Courts,37.772031,-122.397898,1283,"{'typepoint': {'type': 'Point', 'coordinates': [37.772031, -122.397898]}}"
Soma Rec Center,37.778838,-122.406328,1168,"{'typepoint': {'type': 'Point', 'coordinates': [37.778838, -122.406328]}}"
Arterra Mission Bay,37.771896,-122.397532,1283,"{'typepoint': {'type': 'Point', 'coordinates': [37.771896, -122.397532]}}"
