name,lat,lon,distance,type
Sweetgreen,37.787182,-122.398432,331,"{'typepoint': {'type': 'Point', 'coordinates': [37.787182, -122.398432]}}"
Mixt Greens,37.79451,-122.401732,551,"{'typepoint': {'type': 'Point', 'coordinates': [37.79451, -122.401732]}}"
Mixt,37.785581,-122.404432,464,"{'typepoint': {'type': 'Point', 'coordinates': [37.785581, -122.404432]}}"
The Plant Cafe Organic,37.79175,-122.402358,302,"{'typepoint': {'type': 'Point', 'coordinates': [37.79175, -122.402358]}}"
Vida Cantina SF,37.79146,-122.403704,313,"{'typepoint': {'type': 'Point', 'coordinates': [37.79146, -122.403704]}}"
