name,lat,lon,distance,type
California Child Care Resources & Referral Network,37.787285,-122.400087,280,"{'typepoint': {'type': 'Point', 'coordinates': [37.787285, -122.400087]}}"
Bright Horizons,37.792276,-122.403607,502,"{'typepoint': {'type': 'Point', 'coordinates': [37.792276, -122.403607]}}"
Wu Yee Children's Services,37.792221,-122.406042,598,"{'typepoint': {'type': 'Point', 'coordinates': [37.792221, -122.406042]}}"
Yerba Buena Gardens Child Development Center,37.78246,-122.400807,603,"{'typepoint': {'type': 'Point', 'coordinates': [37.78246, -122.400807]}}"
South Of Market Childc,37.782439,-122.401092,608,"{'typepoint': {'type': 'Point', 'coordinates': [37.782439, -122.401092]}}"
Marin Day Schools,37.789639,-122.39492,704,"{'typepoint': {'type': 'Point', 'coordinates': [37.789639, -122.39492]}}"
True Sunshine Preschool Center,37.792767,-122.407866,742,"{'typepoint': {'type': 'Point', 'coordinates': [37.792767, -122.407866]}}"
American Child Care Service,37.792942,-122.404119,600,"{'typepoint': {'type': 'Point', 'coordinates': [37.792942, -122.404119]}}"
Sylvia s Family Child Care,37.783312,-122.397774,650,"{'typepoint': {'type': 'Point', 'coordinates': [37.783312, -122.397774]}}"
Modern Education Family Childcare,37.781349,-122.401243,712,"{'typepoint': {'type': 'Point', 'coordinates': [37.781349, -122.401243]}}"
