name,lat,lon,distance,type
Club X,37.78206,-122.397485,505,"{'typepoint': {'type': 'Point', 'coordinates': [37.78206, -122.397485]}}"
The Grand Nightclub,37.779182,-122.397961,229,"{'typepoint': {'type': 'Point', 'coordinates': [37.779182, -122.397961]}}"
City Nights,37.782039,-122.397771,510,"{'typepoint': {'type': 'Point', 'coordinates': [37.782039, -122.397771]}}"
The Endup,37.777293,-122.403871,719,"{'typepoint': {'type': 'Point', 'coordinates': [37.777293, -122.403871]}}"
Nikitin & Reznikoff Obyebos,37.781219,-122.399515,500,"{'typepoint': {'type': 'Point', 'coordinates': [37.781219, -122.399515]}}"
Blow Buddies,37.778286,-122.402424,580,"{'typepoint': {'type': 'Point', 'coordinates': [37.778286, -122.402424]}}"
Covered Wagon Saloon,37.77989,-122.403666,718,"{'typepoint': {'type': 'Point', 'coordinates': [37.77989, -122.403666]}}"
Rhythm Ethics Productions,37.778185,-122.393888,174,"{'typepoint': {'type': 'Point', 'coordinates': [37.778185, -122.393888]}}"
PSB,37.777497,-122.393059,240,"{'typepoint': {'type': 'Point', 'coordinates': [37.777497, -122.393059]}}"
Living Room,37.779182,-122.397961,250,"{'typepoint': {'type': 'Point', 'coordinates': [37.779182, -122.397961]}}"
