name,lat,lon,distance,type
Bright Horizons at 1700 Montgomery Street,37.805288,-122.404733,255,"{'typepoint': {'type': 'Point', 'coordinates': [37.805288, -122.404733]}}"
Suen An Child Care,37.800012,-122.410947,846,"{'typepoint': {'type': 'Point', 'coordinates': [37.800012, -122.410947]}}"
Wu Yee Children's Services,37.797086,-122.410774,1049,"{'typepoint': {'type': 'Point', 'coordinates': [37.797086, -122.410774]}}"
True Sunshine Preschool Center,37.792767,-122.407866,1296,"{'typepoint': {'type': 'Point', 'coordinates': [37.792767, -122.407866]}}"
Bright Horizons,37.792276,-122.403607,1310,"{'typepoint': {'type': 'Point', 'coordinates': [37.792276, -122.403607]}}"
Wu Yee Children's Services,37.792221,-122.406042,1316,"{'typepoint': {'type': 'Point', 'coordinates': [37.792221, -122.406042]}}"
Bright Horizons,37.790236,-122.392231,1693,"{'typepoint': {'type': 'Point', 'coordinates': [37.790236, -122.392231]}}"
Marin Day Schools,37.789639,-122.39492,1711,"{'typepoint': {'type': 'Point', 'coordinates': [37.789639, -122.39492]}}"
California Child Care Resources & Referral Network,37.787285,-122.400087,1888,"{'typepoint': {'type': 'Point', 'coordinates': [37.787285, -122.400087]}}"
Kai Ming Head Start,37.799057,-122.400781,552,"{'typepoint': {'type': 'Point', 'coordinates': [37.799057, -122.400781]}}"
