name,lat,lon,distance,type
University Plaza Nursery School,40.72711,-73.997451,173,"{'typepoint': {'type': 'Point', 'coordinates': [40.72711, -73.997451]}}"
Sewing In Soho,40.724738,-74.001374,346,"{'typepoint': {'type': 'Point', 'coordinates': [40.724738, -74.001374]}}"
Vivvi,40.723393,-74.00717,860,"{'typepoint': {'type': 'Point', 'coordinates': [40.723393, -74.00717]}}"
Chung Pak Day Care Center,40.717283,-73.999813,926,"{'typepoint': {'type': 'Point', 'coordinates': [40.717283, -73.999813]}}"
Kidville Union Square,40.73292,-73.992048,933,"{'typepoint': {'type': 'Point', 'coordinates': [40.73292, -73.992048]}}"
Preschool of America,40.715727,-73.993554,1128,"{'typepoint': {'type': 'Point', 'coordinates': [40.715727, -73.993554]}}"
Manhattan Kids Club,40.734997,-73.993046,1175,"{'typepoint': {'type': 'Point', 'coordinates': [40.734997, -73.993046]}}"
Chinatown Day Care Center,40.713939,-73.995841,1279,"{'typepoint': {'type': 'Point', 'coordinates': [40.713939, -73.995841]}}"
Your Kids Our Kids,40.737117,-73.99444,1320,"{'typepoint': {'type': 'Point', 'coordinates': [40.737117, -73.99444]}}"
Washington Market School,40.717673,-74.009257,1340,"{'typepoint': {'type': 'Point', 'coordinates': [40.717673, -74.009257]}}"
