name,lat,lon,distance,type
MUNI Bus Stop - 16th & Vermont,37.765974,-122.404924,102,"{'typepoint': {'type': 'Point', 'coordinates': [37.765974, -122.404924]}}"
Bus Stop,37.765097,-122.401862,221,"{'typepoint': {'type': 'Point', 'coordinates': [37.765097, -122.401862]}}"
Muni 19,37.767227,-122.402633,255,"{'typepoint': {'type': 'Point', 'coordinates': [37.767227, -122.402633]}}"
MUNI 16th at Potrero 33 inbound,37.764612,-122.407783,296,"{'typepoint': {'type': 'Point', 'coordinates': [37.764612, -122.407783]}}"
Bay Area SkiBus SF Pickup,37.766035,-122.401129,296,"{'typepoint': {'type': 'Point', 'coordinates': [37.766035, -122.401129]}}"
Muni,37.769666,-122.403207,516,"{'typepoint': {'type': 'Point', 'coordinates': [37.769666, -122.403207]}}"
Muni,37.770046,-122.403372,531,"{'typepoint': {'type': 'Point', 'coordinates': [37.770046, -122.403372]}}"
MUNI Bus Stop - Potrero & 17th,37.75969,-122.407206,643,"{'typepoint': {'type': 'Point', 'coordinates': [37.75969, -122.407206]}}"
MUNI Bus Stop - Division & Bryant,37.769105,-122.410987,718,"{'typepoint': {'type': 'Point', 'coordinates': [37.769105, -122.410987]}}"
Muni Stop,37.765294,-122.413414,795,"{'typepoint': {'type': 'Point', 'coordinates': [37.765294, -122.413414]}}"
