name,lat,lon,distance,type
Spicy Moon Vegan,40.729301,-73.998192,446,"{'typepoint': {'type': 'Point', 'coordinates': [40.729301, -73.998192]}}"
Le Botaniste,40.720398,-74.000286,590,"{'typepoint': {'type': 'Point', 'coordinates': [40.720398, -74.000286]}}"
Sweetgreen,40.729937,-74.002583,660,"{'typepoint': {'type': 'Point', 'coordinates': [40.729937, -74.002583]}}"
Wild Ginger Vegetarian Kitchen,40.7205,-73.996536,559,"{'typepoint': {'type': 'Point', 'coordinates': [40.7205, -73.996536]}}"
Zooba,40.72118,-73.997304,465,"{'typepoint': {'type': 'Point', 'coordinates': [40.72118, -73.997304]}}"
Ananda,40.728844,-73.999135,412,"{'typepoint': {'type': 'Point', 'coordinates': [40.728844, -73.999135]}}"
Sweetgreen,40.729738,-73.992053,652,"{'typepoint': {'type': 'Point', 'coordinates': [40.729738, -73.992053]}}"
Farmacy At Chef’s Club Counter,40.722263,-73.997388,352,"{'typepoint': {'type': 'Point', 'coordinates': [40.722263, -73.997388]}}"
Red Bamboo,40.731292,-74.000367,699,"{'typepoint': {'type': 'Point', 'coordinates': [40.731292, -74.000367]}}"
Beyond Sushi,40.722286,-73.9963,385,"{'typepoint': {'type': 'Point', 'coordinates': [40.722286, -73.9963]}}"
