name,lat,lon,distance,type
Mission/Market Muni Stop,37.777144,-122.395547,80,"{'typepoint': {'type': 'Point', 'coordinates': [37.777144, -122.395547]}}"
Muni 10 Townsend,37.777287,-122.394922,89,"{'typepoint': {'type': 'Point', 'coordinates': [37.777287, -122.394922]}}"
Muni Stop,37.776824,-122.395026,105,"{'typepoint': {'type': 'Point', 'coordinates': [37.776824, -122.395026]}}"
MUNI Bus Stop - Townsend & 4th,37.777296,-122.394409,119,"{'typepoint': {'type': 'Point', 'coordinates': [37.777296, -122.394409]}}"
Muni Stop,37.777616,-122.394069,142,"{'typepoint': {'type': 'Point', 'coordinates': [37.777616, -122.394069]}}"
Amtrak Caltrain Station Bus Stop,37.775924,-122.39569,197,"{'typepoint': {'type': 'Point', 'coordinates': [37.775924, -122.39569]}}"
Megabus.com Bus Stop,37.776515,-122.396083,236,"{'typepoint': {'type': 'Point', 'coordinates': [37.776515, -122.396083]}}"
Muni,37.776283,-122.393561,237,"{'typepoint': {'type': 'Point', 'coordinates': [37.776283, -122.393561]}}"
Muni 4th And Folsom,37.777714,-122.392785,269,"{'typepoint': {'type': 'Point', 'coordinates': [37.777714, -122.392785]}}"
MUNI Bus Stop - Townsend & 3rd,37.77888,-122.392495,302,"{'typepoint': {'type': 'Point', 'coordinates': [37.77888, -122.392495]}}"
