name,lat,lon,distance,type
Bark Avenue,37.775605,-122.394309,790,"{'typepoint': {'type': 'Point', 'coordinates': [37.775605, -122.394309]}}"
Apple Tree Children's Center,37.771984,-122.410437,798,"{'typepoint': {'type': 'Point', 'coordinates': [37.771984, -122.410437]}}"
Modern Education Family Childcare,37.773502,-122.391892,945,"{'typepoint': {'type': 'Point', 'coordinates': [37.773502, -122.391892]}}"
Love & Learn Nursery School,37.773376,-122.414966,1213,"{'typepoint': {'type': 'Point', 'coordinates': [37.773376, -122.414966]}}"
South Of Market Childc,37.782439,-122.401092,1317,"{'typepoint': {'type': 'Point', 'coordinates': [37.782439, -122.401092]}}"
Yerba Buena Gardens Child Development Center,37.78246,-122.400807,1325,"{'typepoint': {'type': 'Point', 'coordinates': [37.78246, -122.400807]}}"
C5 Children's School,37.781001,-122.419072,1471,"{'typepoint': {'type': 'Point', 'coordinates': [37.781001, -122.419072]}}"
Boys and Girls Club Tenderloin Clubhouse,37.782256,-122.412479,1630,"{'typepoint': {'type': 'Point', 'coordinates': [37.782256, -122.412479]}}"
Las Americas Nursery School-Age Childrens Center,37.757005,-122.412853,1805,"{'typepoint': {'type': 'Point', 'coordinates': [37.757005, -122.412853]}}"
California Child Care Resources & Referral Network,37.787285,-122.400087,1840,"{'typepoint': {'type': 'Point', 'coordinates': [37.787285, -122.400087]}}"
